x,y,u_x,u_y,p
0.000000000000000000e+00,7.399999999999999911e-01,-2.133101224899291992e-05,2.071340680122375488e-01,2.655722379684448242e+00
0.000000000000000000e+00,7.500000000000000000e-01,-1.323223114013671875e-05,2.162471711635589600e-01,2.613964319229125977e+00
0.000000000000000000e+00,7.600000000000000089e-01,-2.190470695495605469e-06,2.253924459218978882e-01,2.570192575454711914e+00
0.000000000000000000e+00,7.700000000000000178e-01,1.150742173194885254e-05,2.345702797174453735e-01,2.524418830871582031e+00
0.000000000000000000e+00,7.800000000000000266e-01,2.712756395339965820e-05,2.437808960676193237e-01,2.476654291152954102e+00
0.000000000000000000e+00,7.900000000000000355e-01,4.403665661811828613e-05,2.530246376991271973e-01,2.426925182342529297e+00
0.000000000000000000e+00,8.000000000000000444e-01,6.127357482910156250e-05,2.623016834259033203e-01,2.375254631042480469e+00
0.000000000000000000e+00,8.100000000000000533e-01,7.802248001098632812e-05,2.716127038002014160e-01,2.321674823760986328e+00
0.000000000000000000e+00,8.199999999999999512e-01,9.332969784736633301e-05,2.809581160545349121e-01,2.266217231750488281e+00
0.000000000000000000e+00,8.299999999999999600e-01,1.062080264091491699e-04,2.903385460376739502e-01,2.208920240402221680e+00
0.000000000000000000e+00,8.399999999999999689e-01,1.157522201538085938e-04,2.997547686100006104e-01,2.149821043014526367e+00
0.000000000000000000e+00,8.499999999999999778e-01,1.212581992149353027e-04,3.092065453529357910e-01,2.088963270187377930e+00
0.000000000000000000e+00,8.599999999999999867e-01,1.217797398567199707e-04,3.186945915222167969e-01,2.026391029357910156e+00
0.000000000000000000e+00,8.699999999999999956e-01,1.169964671134948730e-04,3.282192945480346680e-01,1.962147235870361328e+00
0.000000000000000000e+00,8.800000000000000044e-01,1.061782240867614746e-04,3.377807736396789551e-01,1.896275877952575684e+00
0.000000000000000000e+00,8.900000000000000133e-01,8.929148316383361816e-05,3.473792672157287598e-01,1.828825116157531738e+00
0.000000000000000000e+00,9.000000000000000222e-01,6.590783596038818359e-05,3.570139408111572266e-01,1.759845852851867676e+00
0.000000000000000000e+00,9.100000000000000311e-01,3.653019666671752930e-05,3.666850328445434570e-01,1.689383625984191895e+00
0.000000000000000000e+00,9.200000000000000400e-01,1.475214958190917969e-06,3.763925433158874512e-01,1.617489457130432129e+00
0.000000000000000000e+00,9.300000000000000488e-01,-3.912299871444702148e-05,3.861350417137145996e-01,1.544219017028808594e+00
0.000000000000000000e+00,9.399999999999999467e-01,-8.425489068031311035e-05,3.959125280380249023e-01,1.469624042510986328e+00
0.000000000000000000e+00,9.499999999999999556e-01,-1.330301165580749512e-04,4.057239294052124023e-01,1.393764376640319824e+00
0.000000000000000000e+00,9.599999999999999645e-01,-1.842528581619262695e-04,4.155692160129547119e-01,1.316692829132080078e+00
0.000000000000000000e+00,9.699999999999999734e-01,-2.367682754993438721e-04,4.254478216171264648e-01,1.238471865653991699e+00
0.000000000000000000e+00,9.799999999999999822e-01,-2.890154719352722168e-04,4.353585839271545410e-01,1.159155368804931641e+00
0.000000000000000000e+00,9.899999999999999911e-01,-3.392994403839111328e-04,4.453009366989135742e-01,1.078815221786499023e+00
0.000000000000000000e+00,1.000000000000000000e+00,-3.861039876937866211e-04,4.552747905254364014e-01,9.975103139877319336e-01
1.000000000000000021e-02,0.000000000000000000e+00,9.386688470840454102e-04,-4.612271487712860107e-01,9.991947412490844727e-01
1.000000000000000021e-02,1.000000000000000021e-02,7.388181984424591064e-04,-4.511893093585968018e-01,1.078458547592163086e+00
1.000000000000000021e-02,2.000000000000000042e-02,5.686432123184204102e-04,-4.411876499652862549e-01,1.157184958457946777e+00
1.000000000000000021e-02,2.999999999999999889e-02,4.255846142768859863e-04,-4.312215745449066162e-01,1.235292911529541016e+00
1.000000000000000021e-02,4.000000000000000083e-02,3.078542649745941162e-04,-4.212921261787414551e-01,1.312699198722839355e+00
1.000000000000000021e-02,5.000000000000000278e-02,2.131983637809753418e-04,-4.113990068435668945e-01,1.389313459396362305e+00
1.000000000000000021e-02,5.999999999999999778e-02,1.401007175445556641e-04,-4.015424847602844238e-01,1.465048670768737793e+00
1.000000000000000021e-02,7.000000000000000666e-02,8.678436279296875000e-05,-3.917242288589477539e-01,1.539804816246032715e+00
1.000000000000000021e-02,8.000000000000000167e-02,5.123019218444824219e-05,-3.819440901279449463e-01,1.613491892814636230e+00
1.000000000000000021e-02,8.999999999999999667e-02,3.175809979438781738e-05,-3.722026646137237549e-01,1.686015129089355469e+00
1.000000000000000021e-02,1.000000000000000056e-01,2.674758434295654297e-05,-3.625009655952453613e-01,1.757282376289367676e+00
1.000000000000000021e-02,1.100000000000000006e-01,3.486871719360351562e-05,-3.528394997119903564e-01,1.827198147773742676e+00
1.000000000000000021e-02,1.199999999999999956e-01,5.430355668067932129e-05,-3.432181477546691895e-01,1.895676374435424805e+00
1.000000000000000021e-02,1.300000000000000044e-01,8.367002010345458984e-05,-3.336380422115325928e-01,1.962629199028015137e+00
1.000000000000000021e-02,1.400000000000000133e-01,1.215077936649322510e-04,-3.240985274314880371e-01,2.027974843978881836e+00
1.000000000000000021e-02,1.499999999999999944e-01,1.664981245994567871e-04,-3.146002590656280518e-01,2.091638088226318359e+00
1.000000000000000021e-02,1.600000000000000033e-01,2.171210944652557373e-04,-3.051427006721496582e-01,2.153542757034301758e+00
1.000000000000000021e-02,1.700000000000000122e-01,2.722740173339843750e-04,-2.957260906696319580e-01,2.213625192642211914e+00
1.000000000000000021e-02,1.799999999999999933e-01,3.307461738586425781e-04,-2.863496840000152588e-01,2.271824836730957031e+00
1.000000000000000021e-02,1.900000000000000022e-01,3.912970423698425293e-04,-2.770133316516876221e-01,2.328088521957397461e+00
1.000000000000000021e-02,2.000000000000000111e-01,4.528984427452087402e-04,-2.677164673805236816e-01,2.382368803024291992e+00
1.000000000000000021e-02,2.099999999999999922e-01,5.148053169250488281e-04,-2.584584057331085205e-01,2.434626817703247070e+00
1.000000000000000021e-02,2.200000000000000011e-01,5.762055516242980957e-04,-2.492387592792510986e-01,2.484829902648925781e+00
1.000000000000000021e-02,2.300000000000000100e-01,6.360113620758056641e-04,-2.400567829608917236e-01,2.532953500747680664e+00
1.000000000000000021e-02,2.399999999999999911e-01,6.938949227333068848e-04,-2.309119403362274170e-01,2.578981399536132812e+00
1.000000000000000021e-02,2.500000000000000000e-01,7.493793964385986328e-04,-2.218033373355865479e-01,2.622903823852539062e+00
1.000000000000000021e-02,2.600000000000000089e-01,8.020363748073577881e-04,-2.127305865287780762e-01,2.664718627929687500e+00
1.000000000000000021e-02,2.700000000000000178e-01,8.515305817127227783e-04,-2.036932259798049927e-01,2.704427480697631836e+00
1.000000000000000021e-02,2.800000000000000266e-01,8.979663252830505371e-04,-1.946902871131896973e-01,2.742044925689697266e+00
1.000000000000000021e-02,2.899999999999999800e-01,9.412690997123718262e-04,-1.857213526964187622e-01,2.777586460113525391e+00
1.000000000000000021e-02,2.999999999999999889e-01,9.814947843551635742e-04,-1.767851561307907104e-01,2.811077356338500977e+00
1.000000000000000021e-02,3.099999999999999978e-01,1.018933951854705811e-03,-1.678815186023712158e-01,2.842544555664062500e+00
1.000000000000000021e-02,3.200000000000000067e-01,1.053746789693832397e-03,-1.590093672275543213e-01,2.872021198272705078e+00
1.000000000000000021e-02,3.300000000000000155e-01,1.086302101612091064e-03,-1.501677483320236206e-01,2.899544239044189453e+00
1.000000000000000021e-02,3.400000000000000244e-01,1.117099076509475708e-03,-1.413553953170776367e-01,2.925153970718383789e+00
1.000000000000000021e-02,3.499999999999999778e-01,1.146290451288223267e-03,-1.325716078281402588e-01,2.948891639709472656e+00
1.000000000000000021e-02,3.599999999999999867e-01,1.174345612525939941e-03,-1.238146200776100159e-01,2.970802307128906250e+00
1.000000000000000021e-02,3.699999999999999956e-01,1.201696693897247314e-03,-1.150831058621406555e-01,2.990930080413818359e+00
1.000000000000000021e-02,3.800000000000000044e-01,1.228570938110351562e-03,-1.063755825161933899e-01,3.009320974349975586e+00
1.000000000000000021e-02,3.900000000000000133e-01,1.255113631486892700e-03,-9.769085049629211426e-02,3.026017189025878906e+00
1.000000000000000021e-02,4.000000000000000222e-01,1.281455159187316895e-03,-8.902658522129058838e-02,3.041064739227294922e+00
1.000000000000000021e-02,4.099999999999999756e-01,1.307874917984008789e-03,-8.038142323493957520e-02,3.054503440856933594e+00
1.000000000000000021e-02,4.199999999999999845e-01,1.334108412265777588e-03,-7.175361365079879761e-02,3.066371679306030273e+00
1.000000000000000021e-02,4.299999999999999933e-01,1.360274851322174072e-03,-6.314086169004440308e-02,3.076708793640136719e+00
1.000000000000000021e-02,4.400000000000000022e-01,1.386132091283798218e-03,-5.454134196043014526e-02,3.085545539855957031e+00
1.000000000000000021e-02,4.500000000000000111e-01,1.411240547895431519e-03,-4.595289379358291626e-02,3.092913866043090820e+00
1.000000000000000021e-02,4.600000000000000200e-01,1.435302197933197021e-03,-3.737384825944900513e-02,3.098838329315185547e+00
1.000000000000000021e-02,4.699999999999999734e-01,1.458100974559783936e-03,-2.880200184881687164e-02,3.103342533111572266e+00
1.000000000000000021e-02,4.799999999999999822e-01,1.478839665651321411e-03,-2.023499272763729095e-02,3.106442928314208984e+00
1.000000000000000021e-02,4.899999999999999911e-01,1.497372984886169434e-03,-1.167101971805095673e-02,3.108154773712158203e+00
1.000000000000000021e-02,5.000000000000000000e-01,1.513052731752395630e-03,-3.108130767941474915e-03,3.108486175537109375e+00
1.000000000000000021e-02,5.100000000000000089e-01,1.525525003671646118e-03,5.456129088997840881e-03,3.107441186904907227e+00
1.000000000000000021e-02,5.200000000000000178e-01,1.534104347229003906e-03,1.402310095727443695e-02,3.105020999908447266e+00
1.000000000000000021e-02,5.300000000000000266e-01,1.538652926683425903e-03,2.259571291506290436e-02,3.101220130920410156e+00
1.000000000000000021e-02,5.400000000000000355e-01,1.538719981908798218e-03,3.117573074996471405e-02,3.096028089523315430e+00
1.000000000000000021e-02,5.500000000000000444e-01,1.534011214971542358e-03,3.976482897996902466e-02,3.089430809020996094e+00
1.000000000000000021e-02,5.600000000000000533e-01,1.524534076452255249e-03,4.836568236351013184e-02,3.081410408020019531e+00
1.000000000000000021e-02,5.699999999999999512e-01,1.510031521320343018e-03,5.697980523109436035e-02,3.071942567825317383e+00
1.000000000000000021e-02,5.799999999999999600e-01,1.490555703639984131e-03,6.560929119586944580e-02,3.061001539230346680e+00
1.000000000000000021e-02,5.899999999999999689e-01,1.466631889343261719e-03,7.425633072853088379e-02,3.048554658889770508e+00
1.000000000000000021e-02,5.999999999999999778e-01,1.438133418560028076e-03,8.292295783758163452e-02,3.034568786621093750e+00
1.000000000000000021e-02,6.099999999999999867e-01,1.405574381351470947e-03,9.161040931940078735e-02,3.019004821777343750e+00
1.000000000000000021e-02,6.199999999999999956e-01,1.369446516036987305e-03,1.003209650516510010e-01,3.001823902130126953e+00
1.000000000000000021e-02,6.300000000000000044e-01,1.330390572547912598e-03,1.090560927987098694e-01,2.982982158660888672e+00
1.000000000000000021e-02,6.400000000000000133e-01,1.289054751396179199e-03,1.178170219063758850e-01,2.962439537048339844e+00
1.000000000000000021e-02,6.500000000000000222e-01,1.246057450771331787e-03,1.266057193279266357e-01,2.940149545669555664e+00
1.000000000000000021e-02,6.600000000000000311e-01,1.202218234539031982e-03,1.354231089353561401e-01,2.916069746017456055e+00
1.000000000000000021e-02,6.700000000000000400e-01,1.158341765403747559e-03,1.442698985338211060e-01,2.890159606933593750e+00
1.000000000000000021e-02,6.800000000000000488e-01,1.114867627620697021e-03,1.531476080417633057e-01,2.862376689910888672e+00
1.000000000000000021e-02,6.899999999999999467e-01,1.072831451892852783e-03,1.620564609766006470e-01,2.832687377929687500e+00
1.000000000000000021e-02,6.999999999999999556e-01,1.032598316669464111e-03,1.709970980882644653e-01,2.801056623458862305e+00
1.000000000000000021e-02,7.099999999999999645e-01,9.947605431079864502e-04,1.799700260162353516e-01,2.767457246780395508e+00
1.000000000000000021e-02,7.199999999999999734e-01,9.595043957233428955e-04,1.889750957489013672e-01,2.731868982315063477e+00
1.000000000000000021e-02,7.299999999999999822e-01,9.272061288356781006e-04,1.980132609605789185e-01,2.694271326065063477e+00
1.000000000000000021e-02,7.399999999999999911e-01,8.978918194770812988e-04,2.070838212966918945e-01,2.654656410217285156e+00
1.000000000000000021e-02,7.500000000000000000e-01,8.715353906154632568e-04,2.161871790885925293e-01,2.613020658493041992e+00
1.000000000000000021e-02,7.600000000000000089e-01,8.478984236717224121e-04,2.253236770629882812e-01,2.569365739822387695e+00
1.000000000000000021e-02,7.700000000000000178e-01,8.264705538749694824e-04,2.344934791326522827e-01,2.523700475692749023e+00
1.000000000000000021e-02,7.800000000000000266e-01,8.067414164543151855e-04,2.436963170766830444e-01,2.476042747497558594e+00
1.000000000000000021e-02,7.900000000000000355e-01,7.881894707679748535e-04,2.529331147670745850e-01,2.426409959793090820e+00
1.000000000000000021e-02,8.000000000000000444e-01,7.698722183704376221e-04,2.622040510177612305e-01,2.374828577041625977e+00
1.000000000000000021e-02,8.100000000000000533e-01,7.507242262363433838e-04,2.715090811252593994e-01,2.321330070495605469e+00
1.000000000000000021e-02,8.199999999999999512e-01,7.302016019821166992e-04,2.808495163917541504e-01,2.265946388244628906e+00
1.000000000000000021e-02,8.299999999999999600e-01,7.072724401950836182e-04,2.902253866195678711e-01,2.208715915679931641e+00
1.000000000000000021e-02,8.399999999999999689e-01,6.812289357185363770e-04,2.996374666690826416e-01,2.149676084518432617e+00
1.000000000000000021e-02,8.499999999999999778e-01,6.510466337203979492e-04,3.090859055519104004e-01,2.088871240615844727e+00
1.000000000000000021e-02,8.599999999999999867e-01,6.161965429782867432e-04,3.185712993144989014e-01,2.026342868804931641e+00
1.000000000000000021e-02,8.699999999999999956e-01,5.758702754974365234e-04,3.280942440032958984e-01,1.962135314941406250e+00
1.000000000000000021e-02,8.800000000000000044e-01,5.298294126987457275e-04,3.376539945602416992e-01,1.896298766136169434e+00
1.000000000000000021e-02,8.900000000000000133e-01,4.777163267135620117e-04,3.472517430782318115e-01,1.828872799873352051e+00
1.000000000000000021e-02,9.000000000000000222e-01,4.195272922515869141e-04,3.568858802318572998e-01,1.759914040565490723e+00
1.000000000000000021e-02,9.100000000000000311e-01,3.554001450538635254e-04,3.665576577186584473e-01,1.689466595649719238e+00
1.000000000000000021e-02,9.200000000000000400e-01,2.855472266674041748e-04,3.762656450271606445e-01,1.617586612701416016e+00
1.000000000000000021e-02,9.300000000000000488e-01,2.108179032802581787e-04,3.860099911689758301e-01,1.544324040412902832e+00
1.000000000000000021e-02,9.399999999999999467e-01,1.316294074058532715e-04,3.957886695861816406e-01,1.469739794731140137e+00
1.000000000000000021e-02,9.499999999999999556e-01,4.894286394119262695e-05,4.056032299995422363e-01,1.393881201744079590e+00
