x,y,u_x,u_y,p
0.000000000000000000e+00,0.000000000000000000e+00,1.295448746532201767e-04,-4.652807712554931641e-01,1.000008344650268555e+00
0.000000000000000000e+00,1.000000000000000021e-02,1.354597043246030807e-04,-4.552848339080810547e-01,1.092054724693298340e+00
0.000000000000000000e+00,2.000000000000000042e-02,1.257041003555059433e-04,-4.453320801258087158e-01,1.182107090950012207e+00
0.000000000000000000e+00,2.999999999999999889e-02,1.043695956468582153e-04,-4.354204535484313965e-01,1.270169496536254883e+00
0.000000000000000000e+00,4.000000000000000083e-02,7.468857802450656891e-05,-4.255481362342834473e-01,1.356248021125793457e+00
0.000000000000000000e+00,5.000000000000000278e-02,3.982288762927055359e-05,-4.157140552997589111e-01,1.440348744392395020e+00
0.000000000000000000e+00,5.999999999999999778e-02,2.696178853511810303e-06,-4.059166908264160156e-01,1.522475719451904297e+00
0.000000000000000000e+00,7.000000000000000666e-02,-3.465660847723484039e-05,-3.961554169654846191e-01,1.602637290954589844e+00
0.000000000000000000e+00,8.000000000000000167e-02,-7.043057121336460114e-05,-3.864296376705169678e-01,1.680840969085693359e+00
0.000000000000000000e+00,8.999999999999999667e-02,-1.029444392770528793e-04,-3.767383992671966553e-01,1.757094025611877441e+00
0.000000000000000000e+00,1.000000000000000056e-01,-1.313320826739072800e-04,-3.670812249183654785e-01,1.831405043601989746e+00
0.000000000000000000e+00,1.100000000000000006e-01,-1.547688152641057968e-04,-3.574573993682861328e-01,1.903781652450561523e+00
0.000000000000000000e+00,1.199999999999999956e-01,-1.728336792439222336e-04,-3.478667140007019043e-01,1.974231123924255371e+00
0.000000000000000000e+00,1.300000000000000044e-01,-1.854354050010442734e-04,-3.383081257343292236e-01,2.042762279510498047e+00
0.000000000000000000e+00,1.400000000000000133e-01,-1.925395336002111435e-04,-3.287810683250427246e-01,2.109381437301635742e+00
0.000000000000000000e+00,1.499999999999999944e-01,-1.943677198141813278e-04,-3.192850649356842041e-01,2.174096822738647461e+00
0.000000000000000000e+00,1.600000000000000033e-01,-1.914843451231718063e-04,-3.098187446594238281e-01,2.236916303634643555e+00
0.000000000000000000e+00,1.700000000000000122e-01,-1.842377241700887680e-04,-3.003821671009063721e-01,2.297844171524047852e+00
0.000000000000000000e+00,1.799999999999999933e-01,-1.731615047901868820e-04,-2.909737527370452881e-01,2.356889486312866211e+00
0.000000000000000000e+00,1.900000000000000022e-01,-1.589569728821516037e-04,-2.815932929515838623e-01,2.414057970046997070e+00
0.000000000000000000e+00,2.000000000000000111e-01,-1.421242486685514450e-04,-2.722396254539489746e-01,2.469353914260864258e+00
0.000000000000000000e+00,2.099999999999999922e-01,-1.234996598213911057e-04,-2.629120945930480957e-01,2.522784948348999023e+00
0.000000000000000000e+00,2.200000000000000011e-01,-1.036215107887983322e-04,-2.536099851131439209e-01,2.574356555938720703e+00
0.000000000000000000e+00,2.300000000000000100e-01,-8.298153989017009735e-05,-2.443316429853439331e-01,2.624072313308715820e+00
0.000000000000000000e+00,2.399999999999999911e-01,-6.206403486430644989e-05,-2.350768297910690308e-01,2.671937227249145508e+00
