x,y,u_x,u_y,p
0.000000000000000000e+00,0.000000000000000000e+00,5.144218448549509048e-04,-4.611845910549163818e-01,9.975618124008178711e-01
0.000000000000000000e+00,1.000000000000000021e-02,2.716819581110030413e-04,-4.514860212802886963e-01,1.088474273681640625e+00
0.000000000000000000e+00,2.000000000000000042e-02,4.402201739139854908e-05,-4.418761432170867920e-01,1.183680653572082520e+00
0.000000000000000000e+00,2.999999999999999889e-02,-1.227666798513382673e-04,-4.323596656322479248e-01,1.279107451438903809e+00
0.000000000000000000e+00,4.000000000000000083e-02,-2.046187582891434431e-04,-4.229341447353363037e-01,1.371008038520812988e+00
0.000000000000000000e+00,5.000000000000000278e-02,-2.071072522085160017e-04,-4.135976135730743408e-01,1.456709384918212891e+00
0.000000000000000000e+00,5.999999999999999778e-02,-1.556535426061600447e-04,-4.043458700180053711e-01,1.534871339797973633e+00
0.000000000000000000e+00,7.000000000000000666e-02,-8.615452679805457592e-05,-3.951709866523742676e-01,1.605321526527404785e+00
0.000000000000000000e+00,8.000000000000000167e-02,-2.736944588832557201e-05,-3.860653936862945557e-01,1.668658733367919922e+00
0.000000000000000000e+00,8.999999999999999667e-02,3.550463588908314705e-06,-3.770199716091156006e-01,1.725876569747924805e+00
0.000000000000000000e+00,1.000000000000000056e-01,2.701097400858998299e-06,-3.680247962474822998e-01,1.778062820434570312e+00
0.000000000000000000e+00,1.100000000000000006e-01,-2.492565545253455639e-05,-3.590696454048156738e-01,1.826230168342590332e+00
0.000000000000000000e+00,1.199999999999999956e-01,-6.962913903407752514e-05,-3.501445651054382324e-01,1.871239066123962402e+00
0.000000000000000000e+00,1.300000000000000044e-01,-1.190562907140702009e-04,-3.412418365478515625e-01,1.913768172264099121e+00
0.000000000000000000e+00,1.400000000000000133e-01,-1.653616491239517927e-04,-3.323550522327423096e-01,1.954334855079650879e+00
0.000000000000000000e+00,1.499999999999999944e-01,-2.005507412832230330e-04,-3.234789669513702393e-01,1.993312716484069824e+00
0.000000000000000000e+00,1.600000000000000033e-01,-2.218295994680374861e-04,-3.146085739135742188e-01,2.030966520309448242e+00
0.000000000000000000e+00,1.700000000000000122e-01,-2.280731860082596540e-04,-3.057424724102020264e-01,2.067478656768798828e+00
0.000000000000000000e+00,1.799999999999999933e-01,-2.203692856710404158e-04,-2.968791723251342773e-01,2.102973222732543945e+00
